x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
0.44457,0.50961,-0.80221,0.46987,0.45257,-0.75235,0.48536,0.45477,-0.75229,0.50087,0.45841,-0.75234,0.42488,0.45164,-0.76016,0.40794,0.45357,-0.75945,0.39223,0.4564,-0.75973,0.52583,0.49204,-0.43305,0.36862,0.48769,-0.45065,0.47148,0.57588,-0.67972,0.41504,0.5733,-0.68579,0.6499,0.82839,-0.22443,0.24332,0.81936,-0.36746,0.71952,1.20683,-0.19818,0.17848,1.21427,-0.29264,0.73192,1.49239,-0.51001,0.1702,1.49802,-0.63704,0.76252,1.59238,-0.60819,0.14656,1.60263,-0.74766,0.72084,1.59693,-0.6722,0.18874,1.60619,-0.83134,0.70104,1.55389,-0.55612,0.20682,1.56403,-0.68525,0.57821,1.51263,-0.01641,0.30776,1.51213,0.0213,0.56364,2.07258,-0.02355,0.31308,2.07746,0.0138,0.56117,2.58333,0.49757,0.31766,2.58455,0.35426,0.56674,2.67083,0.52093,0.31403,2.67413,0.36938,0.52024,2.74874,0.01707,0.35399,2.73398,-0.17707
0.44434,0.51695,-0.80004,0.46952,0.45828,-0.75158,0.48444,0.46028,-0.75152,0.50019,0.46369,-0.75158,0.42482,0.458,-0.75974,0.40773,0.45966,-0.75901,0.39202,0.46208,-0.75929,0.52577,0.49617,-0.43299,0.36839,0.4925,-0.45125,0.47141,0.58196,-0.67746,0.41481,0.57966,-0.68437,0.64896,0.82783,-0.21966,0.24323,0.81876,-0.365,0.71952,1.20513,-0.15223,0.17074,1.20849,-0.28404,0.73783,1.49413,-0.41042,0.16732,1.49826,-0.58539,0.76898,1.59443,-0.48866,0.14115,1.60232,-0.682,0.72902,1.59993,-0.55418,0.18341,1.60636,-0.76081,0.70917,1.5572,-0.45511,0.20183,1.56408,-0.63036,0.5781,1.50975,-0.01614,0.30845,1.51113,0.02088,0.56491,2.06963,-0.05101,0.32035,2.07586,-0.0117,0.56534,2.58271,0.42354,0.32725,2.58425,0.27744,0.57145,2.6693,0.44305,0.32427,2.67361,0.28864,0.52379,2.74838,-0.04629,0.36113,2.73243,-0.2457
0.43779,0.51852,-0.85081,0.46433,0.45935,-0.81251,0.47976,0.46102,-0.81241,0.49511,0.46419,-0.81238,0.41767,0.4599,-0.80561,0.40178,0.46187,-0.80483,0.38691,0.46445,-0.80501,0.52287,0.49615,-0.4921,0.36651,0.49344,-0.45148,0.46843,0.58261,-0.72596,0.41025,0.58081,-0.71233,0.65055,0.78921,-0.26559,0.24416,0.81843,-0.28793,0.74817,1.17971,-0.34575,0.17099,1.20414,-0.27103,0.73811,1.32763,-0.75843,0.17003,1.49388,-0.74626,0.76595,1.38268,-0.88184,0.14298,1.59468,-0.86848,0.72852,1.36325,-0.90635,0.18629,1.5869,-0.94841,0.70882,1.34229,-0.79049,0.20524,1.5463,-0.79734,0.59475,1.4997,-0.05174,0.3301,1.50682,0.05717,0.5938,2.063,-0.07485,0.34449,2.07423,0.06454,0.60363,2.57462,0.42558,0.36307,2.5798,0.30566,0.61452,2.65827,0.44671,0.36239,2.66502,0.29885,0.55313,2.7391,-0.07754,0.39827,2.73162,-0.21833
0.42405,0.51834,-0.72508,0.45343,0.45931,-0.66997,0.47002,0.46097,-0.66979,0.48534,0.46406,-0.66927,0.40526,0.45977,-0.66502,0.39002,0.4617,-0.66403,0.37657,0.46426,-0.66429,0.51421,0.49602,-0.3365,0.36268,0.49335,-0.30056,0.45881,0.58249,-0.60159,0.39856,0.58066,-0.59304,0.64499,0.78969,-0.15924,0.2443,0.81841,-0.11838,0.82769,1.07772,-0.60539,0.17097,1.22884,-0.09852,0.71934,0.83042,-1.16544,0.16915,1.52469,-0.5127,0.69939,0.67254,-1.28942,0.14243,1.62907,-0.578,0.65443,0.6382,-1.15841,0.18084,1.60549,-0.65212,0.63633,0.71706,-1.13434,0.19952,1.57056,-0.55916,0.59543,1.5086,-0.07757,0.32912,1.51994,0.08353,0.59925,2.10788,-0.22783,0.34742,2.11058,0.07439,0.60994,2.62606,0.17701,0.367,2.62645,0.32422,0.61942,2.70291,0.18765,0.36635,2.70842,0.33076,0.56694,2.79068,-0.35591,0.39939,2.78672,-0.20495
0.41806,0.51926,-0.66737,0.44681,0.45947,-0.60886,0.46363,0.46107,-0.6084,0.47885,0.46406,-0.6076,0.39768,0.4604,-0.60754,0.38182,0.46259,-0.60633,0.36834,0.4652,-0.60637,0.50608,0.49614,-0.29114,0.35435,0.49436,-0.26852,0.45356,0.58529,-0.55332,0.39164,0.58203,-0.54937,0.6403,0.79273,-0.13558,0.24203,0.83586,-0.11955,0.85581,1.05454,-0.59754,0.17085,1.25786,-0.103,0.71356,0.77717,-1.06999,0.16842,1.55752,-0.4889,0.68539,0.61227,-1.17734,0.14106,1.66391,-0.54625,0.63815,0.59708,-1.03295,0.17584,1.64067,-0.61721,0.61909,0.67318,-1.03264,0.19523,1.60654,-0.53528,0.6004,1.52261,-0.06979,0.3283,1.54139,0.07596,0.6082,2.13252,-0.2336,0.34977,2.13469,0.16409,0.61568,2.64627,0.14485,0.37317,2.64488,0.52185,0.6234,2.72685,0.15216,0.37612,2.73183,0.54266,0.57817,2.81104,-0.38543,0.39788,2.80628,0.01407
0.41353,0.51945,-0.66031,0.44149,0.4601,-0.60424,0.4583,0.46173,-0.60385,0.4733,0.46453,-0.60306,0.39257,0.46125,-0.60676,0.37671,0.46357,-0.60559,0.36344,0.46625,-0.60576,0.50032,0.49692,-0.29807,0.35036,0.49602,-0.29329,0.45064,0.58517,-0.54967,0.38748,0.58194,-0.5515,0.63664,0.79365,-0.15305,0.23778,0.84015,-0.1456,0.85953,1.03916,-0.57601,0.17156,1.2726,-0.08578,0.71454,0.72223,-0.94049,0.16268,1.57629,-0.37914,0.69752,0.54629,-1.03351,0.13302,1.6817,-0.42337,0.64308,0.55354,-0.91494,0.16026,1.66708,-0.50901,0.62189,0.62426,-0.90697,0.18191,1.63289,-0.4301,0.60373,1.5256,-0.06962,0.3313,1.54912,0.07581,0.62228,2.13204,-0.2025,0.36513,2.13407,0.14426,0.6301,2.64237,0.2139,0.39312,2.64124,0.4807,0.63625,2.72295,0.22684,0.39877,2.72915,0.49977,0.59747,2.81014,-0.2798,0.41036,2.80035,-0.00654
0.41265,0.519,-0.61654,0.44014,0.45968,-0.56405,0.45664,0.46118,-0.56358,0.47108,0.46378,-0.56286,0.39123,0.46102,-0.56199,0.3753,0.46349,-0.56079,0.36141,0.46617,-0.56097,0.49669,0.49562,-0.27463,0.3483,0.49594,-0.25315,0.44836,0.58353,-0.5128,0.38559,0.58152,-0.50919,0.63586,0.79313,-0.1402,0.23153,0.83965,-0.12875,0.85476,1.04998,-0.52607,0.17151,1.27436,-0.06564,0.71934,0.73593,-0.89689,0.15797,1.57191,-0.3572,0.70422,0.55728,-0.99257,0.12885,1.67532,-0.40645,0.65308,0.56575,-0.87797,0.15417,1.66243,-0.49292,0.63018,0.64823,-0.86643,0.17559,1.62822,-0.40888,0.60464,1.5254,-0.0669,0.3319,1.54708,0.07322,0.61942,2.13197,-0.20053,0.36237,2.13271,0.12578,0.62577,2.64362,0.21611,0.38505,2.64332,0.44134,0.63227,2.72321,0.22926,0.38826,2.72986,0.45815,0.5911,2.81176,-0.27405,0.40679,2.80521,-0.02428
0.41206,0.51856,-0.56709,0.43933,0.45959,-0.51878,0.45568,0.46108,-0.5184,0.47032,0.46367,-0.51773,0.39016,0.46096,-0.51563,0.37404,0.46343,-0.51461,0.35963,0.46608,-0.51491,0.49547,0.49551,-0.25056,0.34618,0.49601,-0.22715,0.44811,0.58173,-0.47226,0.38472,0.58097,-0.46818,0.635,0.79941,-0.14975,0.22418,0.84268,-0.10145,0.84206,1.06735,-0.59763,0.17406,1.28783,-0.10063,0.71975,0.75625,-0.97984,0.15462,1.56747,-0.43536,0.70604,0.5606,-1.07181,0.1289,1.67901,-0.51267,0.65863,0.55429,-0.93365,0.14637,1.66453,-0.59583,0.63332,0.64042,-0.9428,0.1674,1.631,-0.47871,0.60369,1.54189,-0.08651,0.33077,1.55792,0.09287,0.61855,2.15315,-0.19355,0.36042,2.14856,0.13959,0.62222,2.66958,0.25224,0.37202,2.66489,0.44783,0.63046,2.74667,0.26864,0.36852,2.74637,0.46663,0.58705,2.83975,-0.22821,0.40437,2.83555,-0.01965
0.40974,0.51917,-0.60121,0.43753,0.46021,-0.55323,0.45364,0.46155,-0.55291,0.46785,0.46399,-0.5525,0.38897,0.46202,-0.55019,0.37323,0.46448,-0.54912,0.35871,0.46703,-0.54936,0.49433,0.49559,-0.26876,0.3454,0.49663,-0.24209,0.44468,0.58218,-0.49682,0.38253,0.58172,-0.49133,0.63489,0.79978,-0.14315,0.2226,0.84298,-0.11081,0.83692,1.0517,-0.52522,0.17902,1.28629,-0.05564,0.73742,0.74178,-0.80712,0.1481,1.5628,-0.36638,0.70889,0.56547,-0.89832,0.11377,1.67474,-0.42179,0.66903,0.55092,-0.75446,0.13539,1.66276,-0.52017,0.65653,0.62935,-0.7647,0.16082,1.62654,-0.42255,0.60197,1.53852,-0.08326,0.33027,1.55567,0.08939,0.61604,2.14611,-0.18433,0.35863,2.14818,0.07199,0.6219,2.66028,0.24781,0.37078,2.65779,0.28621,0.62975,2.74217,0.26343,0.36731,2.74104,0.2958,0.58493,2.82899,-0.22143,0.39451,2.82528,-0.19568
0.40626,0.52174,-0.58619,0.43389,0.46235,-0.54102,0.4501,0.46349,-0.54079,0.46431,0.4657,-0.54044,0.38629,0.46424,-0.53723,0.37114,0.46629,-0.5362,0.35695,0.46841,-0.53647,0.49158,0.49696,-0.25706,0.34468,0.49736,-0.22412,0.44152,0.58454,-0.48035,0.38017,0.58322,-0.47296,0.63441,0.79865,-0.11981,0.21992,0.84328,-0.10037,0.83317,1.03338,-0.49331,0.18173,1.27716,-0.0488,0.76444,0.79817,-0.81153,0.14859,1.562,-0.35343,0.73123,0.62779,-0.9063,0.11572,1.67129,-0.40337,0.68897,0.60787,-0.77549,0.13958,1.66026,-0.50075,0.70334,0.69255,-0.77225,0.16377,1.62417,-0.40883,0.60113,1.52662,-0.0859,0.32988,1.54757,0.09178,0.61308,2.13336,-0.17915,0.35776,2.1372,0.06283,0.61956,2.65588,0.24616,0.36998,2.65714,0.28241,0.62756,2.72988,0.26053,0.36703,2.73847,0.29347,0.58317,2.82415,-0.22452,0.39301,2.82166,-0.20693
